agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
55,True,33.191,11315.0,460.0,460.0,True,33.339,11315.0,460.0,460.0,True,38.551,11315,460,460,True,38.596,11315,460,460
56,True,33.623,11611.0,460.0,460.0,True,34.539,11611.0,460.0,460.0,True,37.932,11611,460,460,True,38.875,11611,460,460
57,True,33.626,11913.0,460.0,460.0,True,33.28,11913.0,460.0,460.0,True,38.179,11913,460,460,True,38.582,11913,460,460
58,True,34.331,11972.0,460.0,460.0,True,33.459,11972.0,460.0,460.0,True,38.719,11972,460,460,True,39.761,11972,460,460
59,True,34.214,12241.0,460.0,460.0,True,33.707,12241.0,460.0,460.0,True,38.757,12241,460,460,True,40.322,12241,460,460
60,True,33.902,12410.0,460.0,460.0,True,33.533,12410.0,460.0,460.0,True,39.586,12410,460,460,True,40.657,12410,460,460
61,True,33.986,12530.0,460.0,460.0,True,33.156,12530.0,460.0,460.0,True,38.903,12530,460,460,True,40.03,12530,460,460
62,True,15.373,12616.0,460.0,460.0,True,15.561,12616.0,460.0,460.0,True,17.584,12616,460,460,True,18.325,12616,460,460
63,True,15.877,12817.0,460.0,460.0,True,15.67,12817.0,460.0,460.0,True,18.144,12817,460,460,True,18.371,12817,460,460
64,True,15.978,12883.0,460.0,460.0,True,15.671,12883.0,460.0,460.0,True,17.936,12883,460,460,True,18.579,12883,460,460
65,True,16.315,12962.0,460.0,460.0,True,15.601,12962.0,460.0,460.0,True,18.372,12962,460,460,True,18.649,12962,460,460
66,True,16.273,13331.0,460.0,460.0,True,16.091,13331.0,460.0,460.0,True,18.345,13331,460,460,True,18.531,13331,460,460
67,True,16.359,13451.0,460.0,460.0,True,15.633,13451.0,460.0,460.0,True,18.203,13451,460,460,True,18.671,13451,460,460
68,True,16.439,13859.0,460.0,460.0,True,15.887,13859.0,460.0,460.0,True,18.907,13859,460,460,True,18.903,13859,460,460
69,True,16.446,13870.0,460.0,460.0,True,15.875,13870.0,460.0,460.0,True,19.168,13870,460,460,True,19.643,13870,460,460
70,True,17.082,14117.0,460.0,460.0,True,16.178,14117.0,460.0,460.0,True,18.776,14117,460,460,True,19.13,14117,460,460
71,True,17.673,14332.0,460.0,460.0,True,16.417,14332.0,460.0,460.0,True,19.431,14332,460,460,True,19.722,14332,460,460
72,True,17.084,14694.0,460.0,460.0,True,16.455,14694.0,460.0,460.0,True,19.986,14694,460,460,True,19.272,14694,460,460
73,True,16.949,14701.0,460.0,460.0,True,16.681,14701.0,460.0,460.0,True,19.646,14701,460,460,True,19.359,14701,460,460
74,True,17.057,14813.0,460.0,460.0,True,16.665,14813.0,460.0,460.0,True,19.342,14813,460,460,True,19.194,14813,460,460
75,True,17.184,15156.0,460.0,460.0,True,17.043,15156.0,460.0,460.0,True,19.822,15156,460,460,True,19.958,15156,460,460
76,True,17.218,15219.0,460.0,460.0,True,17.309,15219.0,460.0,460.0,True,19.261,15219,460,460,True,19.688,15219,460,460
